index,classification,name,club_page,external_url
T285,學術性,司儀社,https://osa_activity.ntu.edu.tw/club/detail/sn/T285  ,https://www.facebook.com/ntumcclub
T288,學術性,閱人咖啡館,https://osa_activity.ntu.edu.tw/club/detail/sn/T288  ,https://www.instagram.com/ntu.yueren.cafe/
T289,綜合性,Wildlife Disease Association Taiwan Student Chapter,https://osa_activity.ntu.edu.tw/club/detail/sn/T289  ,https://www.facebook.com/profile.php?id=100080066800514
T300,綜合性,菲律賓同學會,https://osa_activity.ntu.edu.tw/club/detail/sn/T300  ,
T301,綜合性,印度同學會,https://osa_activity.ntu.edu.tw/club/detail/sn/T301  ,
T304,聯誼性,日本商業管理社,https://osa_activity.ntu.edu.tw/club/detail/sn/T304  ,
T306,聯誼性,歐洲同學會,https://osa_activity.ntu.edu.tw/club/detail/sn/T306  ,
T307,體適能,肌力體能訓練社,https://osa_activity.ntu.edu.tw/club/detail/sn/T307  ,https://www.facebook.com/NTUSCTC
T309,聯誼性,泰國同學會,https://osa_activity.ntu.edu.tw/club/detail/sn/T309  ,"No. 1, Sec. 4, Roosevelt Rd., Da’an Dist., Taipei City 106319, Taiwan (R.O.C.)"
T312,綜合性,走物社,https://osa_activity.ntu.edu.tw/club/detail/sn/T312  ,https://www.facebook.com/profile.php?id=100089738171011&mibextid=LQQJ4d
T314,綜合性,真食堂,https://osa_activity.ntu.edu.tw/club/detail/sn/T314  ,
T316,學藝性,魔術方塊社,https://osa_activity.ntu.edu.tw/club/detail/sn/T316  ,https://www.facebook.com/ntucubingclub
T317,學藝性,醒獅團,https://osa_activity.ntu.edu.tw/club/detail/sn/T317  ,
T318,自治性,重點科技研究學院學生會,https://osa_activity.ntu.edu.tw/club/detail/sn/T318  ,https://gsat.ntu.edu.tw/tw/home/
T320,學術性,投資銀行研究社,https://osa_activity.ntu.edu.tw/club/detail/sn/T320  ,https://www.ibank-ntu.com/
T322,學藝性,陶藝社,https://osa_activity.ntu.edu.tw/club/detail/sn/T322  ,https://www.facebook.com/profile.php?id=61558979835361&locale=zh_CN
T323,體適能,忽雷太極拳社,https://osa_activity.ntu.edu.tw/club/detail/sn/T323  ,https://www.facebook.com/NTUHuLeiTaichi
T324,聯誼性,Far From Home,https://osa_activity.ntu.edu.tw/club/detail/sn/T324  ,https://www.facebook.com/ntufarfromhome/
T325,學術性,人力資源管理顧問社,https://osa_activity.ntu.edu.tw/club/detail/sn/T325  ,
T327,學術性,不動產研究社,https://osa_activity.ntu.edu.tw/club/detail/sn/T327  ,
T330,學術性,靈魂藍圖社,https://osa_activity.ntu.edu.tw/club/detail/sn/T330  ,https://www.instagram.com/ntusouldesign
T331,學術性,藝術與商業研究社,https://osa_activity.ntu.edu.tw/club/detail/sn/T331  ,
T333,學藝性,現場喜劇社,https://osa_activity.ntu.edu.tw/club/detail/sn/T333  ,
T335,綜合性,獸文化交流社,https://osa_activity.ntu.edu.tw/club/detail/sn/T335  ,
T337,體適能,鶴法研究社,https://osa_activity.ntu.edu.tw/club/detail/sn/T337  ,https://ntucmac.blogspot.com/
T344,學術性,Link to you公民酒吧,https://osa_activity.ntu.edu.tw/club/detail/sn/T344  ,
T345,學術性,iOS Club,https://osa_activity.ntu.edu.tw/club/detail/sn/T345  ,
T346,學術性,諾獎社,https://osa_activity.ntu.edu.tw/club/detail/sn/T346  ,https://www.facebook.com/people/%E8%87%BA%E5%A4%A7%E8%AB%BE%E7%8D%8E%E7%A4%BE-NTU-TTRC/61563336153843/?_rdr
T347,體適能,水球社,https://osa_activity.ntu.edu.tw/club/detail/sn/T347  ,
T348,學術性,新創技能培育社,https://osa_activity.ntu.edu.tw/club/detail/sn/T348  ,
T350,學藝性,快煮鍋料理研究社,https://osa_activity.ntu.edu.tw/club/detail/sn/T350  ,https://www.instagram.com/ntu_happy_pot?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==
T352,體適能,馬拉松社,https://osa_activity.ntu.edu.tw/club/detail/sn/T352  ,https://reurl.cc/Gp5L5W
T353,綜合性,城中同好運動團,https://osa_activity.ntu.edu.tw/club/detail/sn/T353  ,
T355,學術性,知彼知己兩岸用語研究社,https://osa_activity.ntu.edu.tw/club/detail/sn/T355  ,
T356,服務性,Spark Impact Club,https://osa_activity.ntu.edu.tw/club/detail/sn/T356  ,https://www.instagram.com/ntu_sparkimpact?igsh=cm81c2Fpc3BrcjI%3D&utm_source=qr
T357,綜合性,泰勒絲粉絲俱樂部,https://osa_activity.ntu.edu.tw/club/detail/sn/T357  ,https://linktr.ee/ntuswifties?fbclid=PAZXh0bgNhZW0CMTEAAaalI4qGzQ2dNFN-ac8WQBxMDpG0guj2LHi-Cl9dKkcfE77hdfjKAFGpC0s_aem_GL9rdy2XFserATAOcNEOUg
T358,學術性,善水道學社,https://osa_activity.ntu.edu.tw/club/detail/sn/T358  ,
T359,康樂性,超級細胞大亂鬥社,https://osa_activity.ntu.edu.tw/club/detail/sn/T359  ,
T361,綜合性,SLAM國際交流社,https://osa_activity.ntu.edu.tw/club/detail/sn/T361  ,
T362,學術性,加密貨幣與技術分析社,https://osa_activity.ntu.edu.tw/club/detail/sn/T362  ,
T363,綜合性,Acts2Taipei Club,https://osa_activity.ntu.edu.tw/club/detail/sn/T363  ,https://www.instagram.com/journey.tpe?igsh=MTZmZHRjYzN1bzhkYQ==
T364,綜合性,耽美/BL社,https://osa_activity.ntu.edu.tw/club/detail/sn/T364  ,https://www.instagram.com/ntu_bl
T366,綜合性,醫學院合菜會,https://osa_activity.ntu.edu.tw/club/detail/sn/T366  ,https://www.instagram.com/medicoscholosinensiconvivium/
T367,學術性,投信投顧研究社,https://osa_activity.ntu.edu.tw/club/detail/sn/T367  ,https://www.facebook.com/profile.php?id=61570724496076
T369,綜合性,實踐左行社,https://osa_activity.ntu.edu.tw/club/detail/sn/T369  ,
T370,學術性,小黃瓜研究社,https://osa_activity.ntu.edu.tw/club/detail/sn/T370  ,https://www.instagram.com/ntu_cucumber/
T372,自治性,Intelligent Engineering and Technology Student Association,https://osa_activity.ntu.edu.tw/club/detail/sn/T372  ,
T373,聯誼性,臺中一中女中校友會,https://osa_activity.ntu.edu.tw/club/detail/sn/T373  ,
T374,綜合性,自由潛水社,https://osa_activity.ntu.edu.tw/club/detail/sn/T374  ,
T375,體適能,弓道社,https://osa_activity.ntu.edu.tw/club/detail/sn/T375  ,
T378,綜合性,沉浸式懸疑推理社,https://osa_activity.ntu.edu.tw/club/detail/sn/T378  ,
T379,體適能,袋棍球社,https://osa_activity.ntu.edu.tw/club/detail/sn/T379  ,
T380,學術性,台灣 SDGs 文化大使社,https://osa_activity.ntu.edu.tw/club/detail/sn/T380  ,
